slug,name,county,kind,file,heroImage,map_source,zoom,kb
south-charleston,"South Charleston",Clark,municipality,hero_columbus_south-charleston.webp,/images/columbus-heroes/hero_columbus_south-charleston.webp,"exact municipal boundary (US Census TIGER 2019)",14,42
south-solon,"South Solon",Madison,municipality,hero_columbus_south-solon.webp,/images/columbus-heroes/hero_columbus_south-solon.webp,"exact municipal boundary (US Census TIGER 2019)",16,45
south-vienna,"South Vienna",Clark,municipality,hero_columbus_south-vienna.webp,/images/columbus-heroes/hero_columbus_south-vienna.webp,"exact municipal boundary (US Census TIGER 2019)",15,37
springfield,"Springfield",Clark,municipality,hero_columbus_springfield.webp,/images/columbus-heroes/hero_columbus_springfield.webp,"exact municipal boundary (US Census TIGER 2019)",12,97
stoutsville,"Stoutsville",Fairfield,municipality,hero_columbus_stoutsville.webp,/images/columbus-heroes/hero_columbus_stoutsville.webp,"exact municipal boundary (US Census TIGER 2019)",14,55
sugar-grove,"Sugar Grove",Fairfield,municipality,hero_columbus_sugar-grove.webp,/images/columbus-heroes/hero_columbus_sugar-grove.webp,"exact municipal boundary (US Census TIGER 2019)",15,75
sunbury,"Sunbury",Delaware,municipality,hero_columbus_sunbury.webp,/images/columbus-heroes/hero_columbus_sunbury.webp,"exact municipal boundary (US Census TIGER 2019)",13,86
tarlton,"Tarlton",Pickaway,municipality,hero_columbus_tarlton.webp,/images/columbus-heroes/hero_columbus_tarlton.webp,"exact municipal boundary (US Census TIGER 2019)",15,51
thornville,"Thornville",Perry,municipality,hero_columbus_thornville.webp,/images/columbus-heroes/hero_columbus_thornville.webp,"exact municipal boundary (US Census TIGER 2019)",14,51
thurston,"Thurston",Fairfield,municipality,hero_columbus_thurston.webp,/images/columbus-heroes/hero_columbus_thurston.webp,"exact municipal boundary (US Census TIGER 2019)",14,59
unionville-center,"Unionville Center",Union,municipality,hero_columbus_unionville-center.webp,/images/columbus-heroes/hero_columbus_unionville-center.webp,"exact municipal boundary (US Census TIGER 2019)",16,33
urbana,"Urbana",Champaign,municipality,hero_columbus_urbana.webp,/images/columbus-heroes/hero_columbus_urbana.webp,"exact municipal boundary (US Census TIGER 2019)",13,64
utica,"Utica",Licking,municipality,hero_columbus_utica.webp,/images/columbus-heroes/hero_columbus_utica.webp,"exact municipal boundary (US Census TIGER 2019)",14,46
waldo,"Waldo",Marion,municipality,hero_columbus_waldo.webp,/images/columbus-heroes/hero_columbus_waldo.webp,"exact municipal boundary (US Census TIGER 2019)",15,38
washington-court-house,"Washington Court House",Fayette,municipality,hero_columbus_washington-court-house.webp,/images/columbus-heroes/hero_columbus_washington-court-house.webp,"exact municipal boundary (US Census TIGER 2019)",13,73
west-jefferson,"West Jefferson",Madison,municipality,hero_columbus_west-jefferson.webp,/images/columbus-heroes/hero_columbus_west-jefferson.webp,"exact municipal boundary (US Census TIGER 2019)",12,101
west-mansfield,"West Mansfield",Logan,municipality,hero_columbus_west-mansfield.webp,/images/columbus-heroes/hero_columbus_west-mansfield.webp,"exact municipal boundary (US Census TIGER 2019)",15,33
westerville,"Westerville",Franklin,municipality,hero_columbus_westerville.webp,/images/columbus-heroes/hero_columbus_westerville.webp,"exact municipal boundary (US Census TIGER 2019)",13,180
williamsport,"Williamsport",Pickaway,municipality,hero_columbus_williamsport.webp,/images/columbus-heroes/hero_columbus_williamsport.webp,"exact municipal boundary (US Census TIGER 2019)",14,35
woodstock-oh,"Woodstock",Champaign,municipality,hero_columbus_woodstock-oh.webp,/images/columbus-heroes/hero_columbus_woodstock-oh.webp,"exact municipal boundary (US Census TIGER 2019)",15,19
zanesfield,"Zanesfield",Logan,municipality,hero_columbus_zanesfield.webp,/images/columbus-heroes/hero_columbus_zanesfield.webp,"exact municipal boundary (US Census TIGER 2019)",16,40
